,policy,perf,cost,risk,policy_num
125,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
126,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,12
127,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,12
128,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,12
129,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'XML', 'Regression']",469.25,280500,0.10005,13
130,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'CSV', 'Regression']",469.25,280500,0.10005,13
131,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '500-1000GB', 'Real-time display', 'Text-messege', 'Email', 'JSON', 'Regression']",469.25,280500,0.10005,13
132,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'XML', 'Regression']",469.25,280500,0.10005,11
133,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'CSV', 'Regression']",469.25,280500,0.10005,11
134,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'JSON', 'Regression']",469.25,280500,0.10005,11
135,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'XML', 'Regression']",469.25,280500,0.10005,12
136,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'CSV', 'Regression']",469.25,280500,0.10005,12
137,"['Animal', 'Farmbeats', 'Website', '0-100', 'Blockchain', 'Automatic', 'Semi-automatic', '1TB-10TB', 'Real-time display', 'Text-messege', 'JSON', 'Regression']",469.25,280500,0.10005,12
