yyyy-mm-dd,pr_GFDL-ESM2M_rcp45(mm),tasmin_GFDL-ESM2M_rcp45(K),tasmax_GFDL-ESM2M_rcp45(K),was_GFDL-ESM2M_rcp45(ms-1),huss_GFDL-ESM2M_rcp45(kgkg-1)
5/28/06,0,278.633606,293.670685,3.083134,0.005357
5/29/06,0.282352,282.761871,303.585419,3.246352,0.006981
5/30/06,2.396292,288.32254,302.732208,4.532255,0.009077
5/31/06,1.474204,282.420868,295.614624,2.431711,0.007663
6/1/06,0,284.582642,299.408417,0.8484,0.006855
6/2/06,3.98915,282.998566,299.396027,1.326566,0.008016
6/3/06,1.960613,283.966095,296.348114,2.813514,0.007944
6/4/06,6.441727,281.302124,292.05249,1.159612,0.008402
6/5/06,0.373982,283.312958,294.077332,2.644221,0.007414
6/6/06,0.100289,280.623444,294.729706,1.712305,0.006644
6/7/06,0.312013,280.070312,295.944061,0.588589,0.007014
6/8/06,1.604001,286.050873,297.30307,1.008785,0.008513
6/9/06,0.092455,279.664032,292.582764,3.681936,0.006437
6/10/06,0,278.401398,292.922272,1.713913,0.006464
6/11/06,0,280.610077,295.725098,1.124748,0.006241
6/12/06,0,281.904266,295.391174,1.432164,0.006255
6/13/06,0.187738,281.972351,295.327789,2.011987,0.00667
6/14/06,1.527045,282.03833,298.807281,2.575192,0.007108
6/15/06,1.069236,282.201416,292.183289,3.626984,0.00646
6/16/06,1.302805,280.263672,297.727356,2.698601,0.006873
6/17/06,1.618579,287.761139,301.950378,3.186266,0.009455
6/18/06,0.32434,289.140411,301.475433,3.394444,0.010103
6/19/06,3.312443,290.15863,302.062042,3.46162,0.01159
6/20/06,1.59673,291.584412,303.039795,4.066477,0.01241
6/21/06,4.669081,289.783813,301.625031,2.885923,0.012099
6/22/06,0,285.480957,296.820801,3.088871,0.007176
6/23/06,0.112969,281.515472,292.232513,2.717589,0.005855
6/24/06,1.192037,279.572174,289.370178,2.688317,0.005934
6/25/06,7.048558,283.330658,295.021881,4.004063,0.007819
